YEAR,MONTH,DAY,TIME,RAINFALL
2013,2,13,0:00:00,0
2013,2,13,0:15:00,0
2013,2,13,0:30:00,0
2013,2,13,0:45:00,0
2013,2,13,1:00:00,0
2013,2,13,1:15:00,0
2013,2,13,1:30:00,0
2013,2,13,1:45:00,0
2013,2,13,2:00:00,0
2013,2,13,2:15:00,0
2013,2,13,2:30:00,0
2013,2,13,2:45:00,0
2013,2,13,3:00:00,0
2013,2,13,3:15:00,0
2013,2,13,3:30:00,0
2013,2,13,3:45:00,0
2013,2,13,4:00:00,0
2013,2,13,4:15:00,0
2013,2,13,4:30:00,0
2013,2,13,4:45:00,0
2013,2,13,5:00:00,0
2013,2,13,5:15:00,0
2013,2,13,5:30:00,0
2013,2,13,5:45:00,0
2013,2,13,6:00:00,0
2013,2,13,6:15:00,0
2013,2,13,6:30:00,0
2013,2,13,6:45:00,0
2013,2,13,7:00:00,0
2013,2,13,7:15:00,0
2013,2,13,7:30:00,0
2013,2,13,7:45:00,0
2013,2,13,8:00:00,0
2013,2,13,8:15:00,0
2013,2,13,8:30:00,0
2013,2,13,8:45:00,0
2013,2,13,9:00:00,0
2013,2,13,9:15:00,0
2013,2,13,9:30:00,0
2013,2,13,9:45:00,0
2013,2,13,10:00:00,0
2013,2,13,10:15:00,0
2013,2,13,10:30:00,0
2013,2,13,10:45:00,0
2013,2,13,11:00:00,0
2013,2,13,11:15:00,0
2013,2,13,11:30:00,0
2013,2,13,11:45:00,0
2013,2,13,12:00:00,0
2013,2,13,12:15:00,0
2013,2,13,12:30:00,0
2013,2,13,12:45:00,0
2013,2,13,13:00:00,0
2013,2,13,13:15:00,0
2013,2,13,13:30:00,0
2013,2,13,13:45:00,0
2013,2,13,14:00:00,1.2
2013,2,13,14:15:00,0.6
2013,2,13,14:30:00,0
2013,2,13,14:45:00,0.2
2013,2,13,15:00:00,0
2013,2,13,15:15:00,0
2013,2,13,15:30:00,0
2013,2,13,15:45:00,0
2013,2,13,16:00:00,0
2013,2,13,16:15:00,0
2013,2,13,16:30:00,0
2013,2,13,16:45:00,0
2013,2,13,17:00:00,0
2013,2,13,17:15:00,0
2013,2,13,17:30:00,0
2013,2,13,17:45:00,0
2013,2,13,18:00:00,0
2013,2,13,18:15:00,0
2013,2,13,18:30:00,0
2013,2,13,18:45:00,0
2013,2,13,19:00:00,0
2013,2,13,19:15:00,0
2013,2,13,19:30:00,0
2013,2,13,19:45:00,0
2013,2,13,20:00:00,0
2013,2,13,20:15:00,0
2013,2,13,20:30:00,0
2013,2,13,20:45:00,0
2013,2,13,21:00:00,0
2013,2,13,21:15:00,0
2013,2,13,21:30:00,0
2013,2,13,21:45:00,0
2013,2,13,22:00:00,0
2013,2,13,22:15:00,0
2013,2,13,22:30:00,0
2013,2,13,22:45:00,0
2013,2,13,23:00:00,0
2013,2,13,23:15:00,0
2013,2,13,23:30:00,0
2013,2,13,23:45:00,0
2013,2,14,0:00:00,0
2013,2,14,0:15:00,0
2013,2,14,0:30:00,0
2013,2,14,0:45:00,0
2013,2,14,1:00:00,0
2013,2,14,1:15:00,0
2013,2,14,1:30:00,0
2013,2,14,1:45:00,0
2013,2,14,2:00:00,0
2013,2,14,2:15:00,0
2013,2,14,2:30:00,0
2013,2,14,2:45:00,0
2013,2,14,3:00:00,0
2013,2,14,3:15:00,0
2013,2,14,3:30:00,0
2013,2,14,3:45:00,0
2013,2,14,4:00:00,0
2013,2,14,4:15:00,0
2013,2,14,4:30:00,0
2013,2,14,4:45:00,0
2013,2,14,5:00:00,0
2013,2,14,5:15:00,0
2013,2,14,5:30:00,0
2013,2,14,5:45:00,0
2013,2,14,6:00:00,0
2013,2,14,6:15:00,0
2013,2,14,6:30:00,0
2013,2,14,6:45:00,0
2013,2,14,7:00:00,0
2013,2,14,7:15:00,0
2013,2,14,7:30:00,0
2013,2,14,7:45:00,0
2013,2,14,8:00:00,0
2013,2,14,8:15:00,0
2013,2,14,8:30:00,0
2013,2,14,8:45:00,0
2013,2,14,9:00:00,0
2013,2,14,9:15:00,0
2013,2,14,9:30:00,0
2013,2,14,9:45:00,0
2013,2,14,10:00:00,0
2013,2,14,10:15:00,0
2013,2,14,10:30:00,0
2013,2,14,10:45:00,0
2013,2,14,11:00:00,0
2013,2,14,11:15:00,0
2013,2,14,11:30:00,0
2013,2,14,11:45:00,0
2013,2,14,12:00:00,0
2013,2,14,12:15:00,0
2013,2,14,12:30:00,0
2013,2,14,12:45:00,0
2013,2,14,13:00:00,0
2013,2,14,13:15:00,0
2013,2,14,13:30:00,0
2013,2,14,13:45:00,0
2013,2,14,14:00:00,0
2013,2,14,14:15:00,0
2013,2,14,14:30:00,0
2013,2,14,14:45:00,0
2013,2,14,15:00:00,0
2013,2,14,15:15:00,0
2013,2,14,15:30:00,0
2013,2,14,15:45:00,0
2013,2,14,16:00:00,0
2013,2,14,16:15:00,0
2013,2,14,16:30:00,0
2013,2,14,16:45:00,0
2013,2,14,17:00:00,0
2013,2,14,17:15:00,0
2013,2,15,10:00:00,0
2013,2,15,10:15:00,0
2013,2,15,10:30:00,0
2013,2,15,10:45:00,0
2013,2,15,11:00:00,0
2013,2,15,11:15:00,0
2013,2,15,11:30:00,0
2013,2,15,11:45:00,0
2013,2,15,12:00:00,0
2013,2,15,12:15:00,0
2013,2,15,12:30:00,0
2013,2,15,12:45:00,0
2013,2,15,13:00:00,0
2013,2,15,13:15:00,0.4
2013,2,15,13:30:00,0.8
2013,2,15,13:45:00,0.2
2013,2,15,14:00:00,0
2013,2,15,14:15:00,0
2013,2,15,14:30:00,0
2013,2,15,14:45:00,0
2013,2,15,15:00:00,1.2
2013,2,15,15:15:00,0.4
2013,2,15,15:30:00,0
2013,2,15,15:45:00,0
2013,2,15,16:00:00,0.2
2013,2,15,16:15:00,0
2013,2,15,16:30:00,0
2013,2,15,16:45:00,0
2013,2,15,17:00:00,0.2
2013,2,15,17:15:00,0
2013,2,15,17:30:00,0
2013,2,15,20:00:00,0
2013,2,15,20:15:00,0
2013,2,15,20:30:00,0
2013,2,15,21:30:00,0
2013,2,15,21:45:00,0.2
2013,2,15,22:00:00,0.2
2013,2,15,22:15:00,0
2013,2,15,22:30:00,0
2013,2,15,22:45:00,0
2013,2,15,23:00:00,0
2013,2,15,23:15:00,0
2013,2,15,23:30:00,0
2013,2,15,23:45:00,0
2013,2,16,0:00:00,0
2013,2,16,1:15:00,0
2013,2,16,1:30:00,0
2013,2,16,1:45:00,0
2013,2,16,2:00:00,0
2013,2,16,2:15:00,0
2013,2,16,2:30:00,0
2013,2,16,2:45:00,0
2013,2,16,3:00:00,0
2013,2,16,3:15:00,0
2013,2,16,3:30:00,0
2013,2,16,3:45:00,0
2013,2,16,4:00:00,0
2013,2,16,4:15:00,0
2013,2,16,4:30:00,0
2013,2,16,4:45:00,0
2013,2,16,5:00:00,0
2013,2,16,5:15:00,0
2013,2,16,5:30:00,0
2013,2,16,5:45:00,0
2013,2,16,6:00:00,0
2013,2,16,6:15:00,0
2013,2,16,6:30:00,0
2013,2,16,6:45:00,0
2013,2,16,7:00:00,0
2013,2,16,7:15:00,0
2013,2,16,7:30:00,0
2013,2,16,7:45:00,0
2013,2,16,8:00:00,0
2013,2,16,8:15:00,0
2013,2,16,8:30:00,0
2013,2,16,8:45:00,0
2013,2,16,9:00:00,0
2013,2,16,9:15:00,0
2013,2,16,9:30:00,0
2013,2,16,9:45:00,0
2013,2,16,10:00:00,0
2013,2,16,10:15:00,0
2013,2,16,10:30:00,0
2013,2,16,10:45:00,0
2013,2,16,11:00:00,0
2013,2,16,11:15:00,0
2013,2,16,11:30:00,0
2013,2,16,11:45:00,0
2013,2,16,12:00:00,0
2013,2,16,12:15:00,0
2013,2,16,12:30:00,0
2013,2,16,12:45:00,0
2013,2,16,13:00:00,0
2013,2,16,13:15:00,0
2013,2,16,13:30:00,0
2013,2,16,13:45:00,0
2013,2,16,14:00:00,0
2013,2,16,14:15:00,0
2013,2,16,14:30:00,0
2013,2,16,14:45:00,0
2013,2,16,15:00:00,0
2013,2,16,15:15:00,0
2013,2,16,15:30:00,0
2013,2,16,15:45:00,0.2
2013,2,16,16:00:00,0
2013,2,16,16:15:00,0
2013,2,16,16:30:00,0
2013,2,16,16:45:00,0
2013,2,16,17:00:00,0
2013,2,16,17:15:00,0
2013,2,16,17:30:00,0
2013,2,16,17:45:00,0
2013,2,16,18:00:00,0
2013,2,16,18:15:00,0
2013,2,16,18:30:00,0
2013,2,16,18:45:00,0
2013,2,16,19:00:00,0
2013,2,16,19:45:00,0
2013,2,16,20:00:00,0
2013,2,16,20:15:00,0
2013,2,16,20:30:00,0
2013,2,16,20:45:00,0
2013,2,16,21:00:00,0
2013,2,16,21:15:00,0
2013,2,16,21:30:00,0
2013,2,16,21:45:00,0
2013,2,16,22:00:00,0
2013,2,16,22:15:00,0
2013,2,16,22:30:00,0
2013,2,16,22:45:00,0
2013,2,16,23:00:00,0
2013,2,16,23:15:00,0
2013,2,16,23:30:00,0
2013,2,16,23:45:00,0
2013,2,17,0:00:00,0
2013,2,17,0:15:00,0
2013,2,17,0:30:00,0
2013,2,17,0:45:00,0
2013,2,17,1:00:00,0
2013,2,17,1:15:00,0
2013,2,17,1:30:00,0
2013,2,17,1:45:00,0
2013,2,17,2:00:00,0
2013,2,17,2:15:00,0
2013,2,17,2:30:00,0
2013,2,17,2:45:00,0
2013,2,17,3:00:00,0
2013,2,17,3:15:00,0
2013,2,17,3:30:00,0
2013,2,17,3:45:00,0.2
2013,2,17,4:00:00,0
2013,2,17,4:15:00,0
2013,2,17,4:30:00,0
2013,2,17,4:45:00,0
2013,2,17,5:00:00,0
2013,2,17,5:15:00,0
2013,2,17,5:30:00,0
2013,2,17,5:45:00,0
2013,2,17,6:00:00,0
2013,2,17,6:15:00,0
2013,2,17,6:30:00,0
2013,2,17,6:45:00,0
2013,2,17,7:00:00,0
2013,2,17,7:15:00,0
2013,2,17,7:30:00,0
2013,2,17,7:45:00,0
2013,2,17,8:00:00,0
2013,2,17,8:15:00,0
2013,2,17,8:30:00,0
2013,2,17,8:45:00,0
2013,2,17,9:00:00,0
2013,2,17,9:15:00,0
2013,2,17,9:30:00,0
2013,2,17,9:45:00,0
2013,2,17,10:00:00,0
2013,2,17,10:15:00,0
2013,2,17,10:30:00,0
2013,2,17,10:45:00,0
2013,2,17,11:00:00,0
2013,2,17,11:15:00,0
2013,2,17,11:30:00,0
2013,2,17,11:45:00,0
2013,2,17,12:00:00,0
2013,2,17,12:15:00,0
2013,2,17,12:30:00,0
2013,2,17,12:45:00,0
2013,2,17,13:00:00,0
2013,2,17,13:15:00,0
2013,2,17,13:30:00,0
2013,2,17,13:45:00,0
2013,2,17,14:00:00,0
2013,2,17,14:15:00,0
2013,2,17,14:30:00,0
2013,2,17,14:45:00,0
2013,2,17,15:00:00,0
2013,2,17,15:15:00,0
2013,2,17,15:30:00,0
2013,2,17,15:45:00,0
2013,2,17,16:00:00,0
2013,2,17,16:15:00,0
2013,2,17,16:30:00,0
2013,2,17,16:45:00,0
2013,2,17,17:00:00,0
2013,2,17,17:15:00,0
2013,2,17,17:30:00,0
2013,2,17,17:45:00,0
2013,2,17,18:00:00,0
2013,2,17,18:15:00,0
2013,2,17,18:30:00,0
2013,2,17,18:45:00,0
2013,2,17,19:00:00,0.2
2013,2,17,19:15:00,0.2
2013,2,17,19:30:00,0
2013,2,17,19:45:00,0
2013,2,17,20:00:00,0
2013,2,17,20:15:00,0
2013,2,17,20:30:00,0
2013,2,17,20:45:00,0
2013,2,17,21:00:00,0
2013,2,17,21:15:00,0
2013,2,17,21:30:00,0
2013,2,17,21:45:00,0
2013,2,17,22:00:00,0
2013,2,17,22:15:00,0
2013,2,17,22:30:00,0
2013,2,17,22:45:00,0
2013,2,17,23:00:00,0
2013,2,17,23:15:00,0
2013,2,17,23:30:00,0
2013,2,17,23:45:00,0
2013,2,18,0:00:00,0
2013,2,18,0:15:00,0
2013,2,18,0:30:00,0
2013,2,18,0:45:00,0
2013,2,18,1:00:00,0
2013,2,18,1:15:00,0
2013,2,18,1:30:00,0
2013,2,18,1:45:00,0
2013,2,18,2:00:00,0
2013,2,18,2:15:00,0
2013,2,18,2:30:00,0
2013,2,18,2:45:00,0.2
2013,2,18,3:00:00,0
2013,2,18,3:15:00,0
2013,2,18,3:30:00,0
2013,2,18,3:45:00,0
2013,2,18,4:00:00,0
2013,2,18,4:15:00,0
2013,2,18,4:30:00,0
2013,2,18,4:45:00,0
2013,2,18,5:00:00,0
2013,2,18,5:15:00,0
2013,2,18,5:30:00,0
2013,2,18,5:45:00,0
2013,2,18,6:00:00,0
2013,2,18,6:15:00,0
2013,2,18,6:30:00,0
2013,2,18,6:45:00,0
2013,2,18,7:00:00,0
2013,2,18,7:15:00,0
2013,2,18,7:30:00,0
2013,2,18,7:45:00,0
2013,2,18,8:00:00,0
2013,2,18,8:15:00,0
2013,2,18,8:30:00,0
2013,2,18,8:45:00,0
2013,2,18,9:00:00,0
2013,2,18,9:15:00,0
2013,2,18,9:30:00,0
2013,2,18,9:45:00,0
2013,2,18,10:00:00,0
2013,2,18,10:15:00,0
2013,2,18,10:30:00,0
2013,2,18,10:45:00,0
